# Program:featureCounts v1.5.0-p1; Command:"featureCounts" "-T" "1" "--minOverlap" "1" "-D" "600" "-d" "50" "-g" "gene_id" "-t" "exon" "-F" "GTF" "-S" "fr" "-s" "2" "-o" "counts.txt" "-a" "/tmp/tmpHTk84S/stgdc4c2f59-9695-4a36-9890-6624f143a433/hg19.gencode_v19.chr21.gtf" "/tmp/tmpHTk84S/stgb8806063-f72c-4b67-b98c-072129176f32/chr21_1.bam" "/tmp/tmpHTk84S/stg7a8f0c97-8c34-4b8c-bd07-1e9c8b2f4929/chr21_2.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/tmpHTk84S/stgb8806063-f72c-4b67-b98c-072129176f32/chr21_1.bam	/tmp/tmpHTk84S/stg7a8f0c97-8c34-4b8c-bd07-1e9c8b2f4929/chr21_2.bam
ENSG00000238411.1	chr21	9683191	9683272	+	82	0	0
ENSG00000264462.1	chr21	9825832	9826011	+	180	0	0
ENSG00000264063.1	chr21	9826203	9826263	+	61	0	0
ENSG00000188681.7	chr21;chr21;chr21;chr21	9907194;9909047;9966322;9968516	9908432;9909277;9966380;9968585	-;-;-;-	1599	77	44
ENSG00000239179.1	chr21	9937696	9937777	-	82	0	0
ENSG00000239107.1	chr21	9937936	9938018	-	83	0	0
ENSG00000263839.1	chr21	10199943	10200025	+	83	0	0
ENSG00000264002.1	chr21	10380380	10380661	-	282	0	0
ENSG00000252199.1	chr21	10385953	10386047	+	95	0	0
ENSG00000169861.8	chr21;chr21	10862622;10862751	10862667;10863067	+;+	363	0	1
ENSG00000166157.12	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	10906201;10908825;10910307;10914363;10916370;10920084;10921934;10933852;10934039;10934937;10941908;10942711;10942921;10944668;10951266;10952913;10959741;10969075;10970009;10971292;10973723;10985045;10987769;10990763;10996020;10998207;11011438;11012917;11013471;11014938;11015348;11020813;11021110;11026723;11029598	10907040;10908895;10910399;10914442;10916475;10920164;10921995;10933940;10934120;10934997;10941972;10942774;10943020;10944787;10951427;10952963;10959800;10969128;10970062;10971345;10973776;10985102;10987877;10990920;10996139;10998335;11011650;11012982;11013600;11015102;11015544;11020917;11021211;11026839;11029719	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4194	0	0
ENSG00000187172.11	chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21;chr21	11020842;11021110;11026723;11029598;11038728;11047481;11049450;11058161;11097546;11098703	11020917;11021211;11026839;11029717;11039429;11047595;11049621;11058323;11097646;11098925	-;-;-;-;-;-;-;-;-;-	1891	0	0
